Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2020-08-21,2304.59,1,30.37,0.0134,2306.16,2329.34,2280.97,865735547,14111672142563,1566780398603402.0
2020-08-24,2329.83,1,25.24,0.011,2309.38,2332.33,2283.48,649276997,11654192722499,1583436465121661.0
2020-08-25,2366.73,1,36.9,0.0158,2352.15,2369.78,2340.97,771584899,13567979759561,1608120252926561.0
2020-08-26,2369.32,1,2.59,0.0011,2367.74,2374.68,2336.98,956477600,14435847151150,1610120509376745.0
2020-08-27,2344.45,2,-24.87,-0.0105,2371.95,2373.36,2344.38,913917009,15184934096620,1593246017303196.0
2020-08-28,2353.8,1,9.35,0.004,2362.22,2379.26,2345.28,1297312453,15539938168140,1599550088938588.0
2020-08-31,2326.17,2,-27.63,-0.0116999999999999,2377.09,2381.5,2326.06,1647817574,19494383573469,1581099787409825.0
2020-09-01,2349.55,1,23.38,0.0101,2340.19,2355.9,2331.23,1085245170,16664315188856,1596297722994903.0
2020-09-02,2364.37,1,14.82,0.0063,2363.43,2369.57,2341.29,1429273398,15793103441693,1605940739103531.0
2020-09-03,2395.9,1,31.53,0.0133,2383.26,2401.78,2382.23,981546067,17420976999156,1627702404391316.0
2020-09-04,2368.25,2,-27.65,-0.0115,2332.68,2371.02,2332.68,1351039363,19692978202805,1609097990279875.0
2020-09-07,2384.22,1,15.97,0.0067,2369.85,2387.49,2362.42,1197385474,17183375926104,1620531147584954.0
2020-09-08,2401.91,1,17.69,0.0074,2402.66,2407.56,2391.43,979357221,17297863872467,1633223139885418.0
2020-09-09,2375.81,2,-26.1,-0.0109,2372.53,2388.85,2369.12,946247432,15502530521592,1615470588593288.0
2020-09-10,2396.48,1,20.67,0.0087,2404.83,2406.68,2388.56,1064574011,15782939154843,1630210829012952.0
2020-09-11,2396.69,1,0.21,0.0001,2389.76,2397.56,2374.0,882880372,12068892326762,1630532301019895.0
2020-09-14,2427.91,1,31.22,0.013,2418.33,2429.07,2410.79,963082613,12021767344457,1652166907017391.0
2020-09-15,2443.58,1,15.67,0.0065,2434.59,2444.57,2423.79,849968969,11840594190854,1662644696534407.0
2020-09-16,2435.92,2,-7.66,-0.0031,2442.72,2450.53,2429.94,772938451,11855356972071,1657263234612989.0
