날짜,개인,외국인,기관계,금융투자,보험,투신 (사모),은행,기타금융기관,연기금등,기타법인,date,외국인합계,기관합계
07.01.15,-543.0,3267.0,-2724.0,-141.0,-392.0,-1083.0,-280.0,-59.0,-768.0,0.0,2007-01-15,3267.0,-2724.0
07.01.16,-385.0,-518.0,902.0,-202.0,290.0,396.0,-189.0,18.0,590.0,0.0,2007-01-16,-518.0,902.0
07.01.17,339.0,1668.0,-2006.0,-456.0,23.0,-1229.0,-170.0,-7.0,-168.0,0.0,2007-01-17,1668.0,-2006.0
07.01.18,-417.0,-461.0,878.0,-238.0,-61.0,604.0,-373.0,-57.0,1003.0,0.0,2007-01-18,-461.0,878.0
07.01.19,344.0,957.0,-1301.0,-91.0,-13.0,-951.0,-410.0,-106.0,270.0,0.0,2007-01-19,957.0,-1301.0
07.01.22,-373.0,-369.0,741.0,-113.0,-151.0,813.0,-156.0,-252.0,601.0,0.0,2007-01-22,-369.0,741.0
07.01.23,-714.0,474.0,240.0,-323.0,-176.0,186.0,-56.0,-83.0,692.0,0.0,2007-01-23,474.0,240.0
07.01.24,-1223.0,475.0,748.0,-376.0,-184.0,210.0,-60.0,29.0,1129.0,0.0,2007-01-24,475.0,748.0
07.01.25,-850.0,761.0,89.0,-90.0,-307.0,147.0,61.0,86.0,191.0,0.0,2007-01-25,761.0,89.0
07.01.26,-5.0,-562.0,567.0,538.0,-146.0,-1020.0,82.0,-18.0,1131.0,0.0,2007-01-26,-562.0,567.0
07.01.29,794.0,-557.0,-237.0,236.0,36.0,-1231.0,-116.0,12.0,827.0,0.0,2007-01-29,-557.0,-237.0
07.01.30,-557.0,-1023.0,1580.0,23.0,125.0,1063.0,-211.0,-54.0,636.0,0.0,2007-01-30,-1023.0,1580.0
07.01.31,484.0,460.0,-944.0,216.0,174.0,-1441.0,-46.0,7.0,147.0,0.0,2007-01-31,460.0,-944.0
07.02.01,-2459.0,78.0,2382.0,0.0,8.0,1010.0,-45.0,35.0,1373.0,0.0,2007-02-01,78.0,2382.0
07.02.02,-4706.0,3515.0,1191.0,-22.0,30.0,270.0,148.0,-34.0,800.0,0.0,2007-02-02,3515.0,1191.0
07.02.05,-1550.0,2783.0,-1233.0,94.0,-26.0,-1798.0,-47.0,-17.0,561.0,0.0,2007-02-05,2783.0,-1233.0
07.02.06,-334.0,1123.0,-789.0,227.0,-104.0,-1660.0,52.0,56.0,641.0,0.0,2007-02-06,1123.0,-789.0
07.02.07,-4.0,977.0,-973.0,158.0,-76.0,-1528.0,58.0,-34.0,449.0,0.0,2007-02-07,977.0,-973.0
07.02.08,1059.0,-2079.0,1020.0,262.0,125.0,434.0,-91.0,-72.0,361.0,0.0,2007-02-08,-2079.0,1020.0
07.02.09,-857.0,-1061.0,1918.0,-22.0,52.0,608.0,-38.0,-8.0,1327.0,0.0,2007-02-09,-1061.0,1918.0
07.02.12,1523.0,-1213.0,-310.0,253.0,37.0,-2078.0,39.0,79.0,1361.0,0.0,2007-02-12,-1213.0,-310.0
07.02.13,332.0,-1862.0,1530.0,353.0,-1.0,143.0,16.0,8.0,1011.0,0.0,2007-02-13,-1862.0,1530.0
07.02.14,-2110.0,-136.0,2246.0,24.0,-146.0,698.0,-42.0,-2.0,1713.0,0.0,2007-02-14,-136.0,2246.0
07.02.15,-924.0,2517.0,-1593.0,-28.0,-34.0,-2238.0,-97.0,-76.0,880.0,0.0,2007-02-15,2517.0,-1593.0
07.02.16,-224.0,1893.0,-1669.0,-489.0,122.0,-2063.0,158.0,88.0,515.0,0.0,2007-02-16,1893.0,-1669.0
07.02.20,43.0,1451.0,-1494.0,-64.0,29.0,-2024.0,-171.0,-13.0,748.0,0.0,2007-02-20,1451.0,-1494.0
07.02.21,-128.0,744.0,-616.0,-14.0,339.0,-1543.0,-117.0,6.0,713.0,0.0,2007-02-21,744.0,-616.0
07.02.22,-2240.0,278.0,1961.0,42.0,144.0,447.0,28.0,-365.0,1666.0,0.0,2007-02-22,278.0,1961.0
07.02.23,-903.0,4545.0,-3642.0,567.0,1304.0,-310.0,282.0,73.0,-5557.0,0.0,2007-02-23,4545.0,-3642.0
07.02.26,130.0,1659.0,-1789.0,306.0,-136.0,-2635.0,10.0,8.0,658.0,0.0,2007-02-26,1659.0,-1789.0
07.02.27,55.0,255.0,-311.0,183.0,-33.0,-1915.0,-100.0,91.0,1463.0,0.0,2007-02-27,255.0,-311.0
07.02.28,4739.0,-3075.0,-1664.0,156.0,452.0,-5170.0,182.0,69.0,2646.0,0.0,2007-02-28,-3075.0,-1664.0
07.03.02,1987.0,-1544.0,-442.0,71.0,167.0,-1699.0,112.0,-16.0,922.0,0.0,2007-03-02,-1544.0,-442.0
07.03.05,2093.0,-2787.0,694.0,432.0,107.0,-1143.0,321.0,6.0,970.0,0.0,2007-03-05,-2787.0,694.0
07.03.06,863.0,-2608.0,1745.0,-217.0,390.0,920.0,-173.0,-29.0,855.0,0.0,2007-03-06,-2608.0,1745.0
07.03.07,94.0,618.0,-712.0,40.0,170.0,-1096.0,-649.0,-19.0,842.0,0.0,2007-03-07,618.0,-712.0
07.03.08,-62.0,-2763.0,2824.0,-1194.0,11.0,3703.0,-645.0,0.0,950.0,0.0,2007-03-08,-2763.0,2824.0
