ticker,target_price,opinion_score,opinion_text
006805,78688.0,3.29,중립
419530,55000.0,4.0,매수
322310,43000.0,4.0,매수
244920,11500.0,3.0,중립
011560,32000.0,4.0,매수
119610,26000.0,4.0,매수
051905,280400.0,3.09,중립
010955,144200.0,4.0,매수
241590,5575.0,3.5,매수
068930,11500.0,4.0,매수
013120,2700.0,3.0,중립
214180,28000.0,4.0,매수
035150,20000.0,4.0,매수
054450,20000.0,4.0,매수
053210,5533.0,3.17,중립
149950,16000.0,4.0,매수
053690,36667.0,4.0,매수
353810,10000.0,4.0,매수
405100,30000.0,4.0,매수
013890,15000.0,4.0,매수
039570,10500.0,4.0,매수
339770,6650.0,4.0,매수
095570,6833.0,4.0,매수
237880,14500.0,4.0,매수
003547,45667.0,3.67,매수
126700,23000.0,4.0,매수
001045,259600.0,4.0,매수
474170,18500.0,4.0,매수
039840,22667.0,4.0,매수
016580,17000.0,4.0,매수
108380,48000.0,4.0,매수
361390,32000.0,4.0,매수
003220,15200.0,4.0,매수
264450,22000.0,4.0,매수
013580,32000.0,4.0,매수
234080,18000.0,4.0,매수
114840,15500.0,4.0,매수
092130,21000.0,4.0,매수
080160,14000.0,4.0,매수
011785,176357.0,3.93,매수
097955,295455.0,4.0,매수
293480,14000.0,4.0,매수
023910,40000.0,4.0,매수
083500,29000.0,4.0,매수
213500,10250.0,4.0,매수
046440,6200.0,3.0,중립
071840,9900.0,3.5,매수
473980,27500.0,4.0,매수
004150,4600.0,4.0,매수
004090,21000.0,4.0,매수
000520,10000.0,4.0,매수
222040,10000.0,4.0,매수
282880,22000.0,4.0,매수
125210,24000.0,4.0,매수
317400,6800.0,4.0,매수
214420,9000.0,4.0,매수
002990,5600.0,4.0,매수
148150,6500.0,4.0,매수
297090,9800.0,4.0,매수
079430,8533.0,3.67,매수
290740,29000.0,4.0,매수
33626K,77500.0,3.83,매수
089600,16667.0,4.0,매수
070960,4600.0,4.0,매수
115440,25000.0,4.0,매수
063570,7000.0,4.0,매수
228850,8400.0,4.0,매수
021320,6500.0,3.0,중립
014790,4567.0,4.0,매수
282720,20000.0,4.0,매수
226400,10000.0,4.0,매수
019680,1500.0,3.0,중립
067000,3200.0,4.0,매수
078935,97500.0,3.8,매수
036420,10800.0,4.0,매수
053580,13000.0,4.0,매수
37550L,127063.0,4.0,매수
100130,2000.0,3.0,중립
040420,9000.0,4.0,매수
418470,18000.0,4.0,매수
043610,2500.0,4.0,매수
130580,7000.0,4.0,매수
000105,131923.0,4.0,매수
017370,9500.0,4.0,매수
096775,173182.0,3.83,매수
111380,21000.0,4.0,매수
009180,4500.0,4.0,매수
35320K,174231.0,4.08,매수
120115,111667.0,4.0,매수
037440,8000.0,4.0,매수
007815,121500.0,4.0,매수
053450,6000.0,4.0,매수
048910,11000.0,4.0,매수
005305,162273.0,4.0,매수
111110,9500.0,4.0,매수
000725,222900.0,3.95,매수
009835,53992.0,3.54,매수
37550K,127063.0,4.0,매수
28513K,80000.0,4.0,매수
000215,82000.0,4.0,매수
33637K,18667.0,4.0,매수
33626L,77500.0,3.83,매수
002025,100000.0,4.0,매수
002355,9817.0,3.92,매수
003495,32231.0,3.92,매수
008775,83909.0,4.0,매수
001685,34500.0,4.0,매수
00499K,35333.0,4.0,매수
108675,49000.0,4.0,매수
019685,1500.0,3.0,중립
000087,24000.0,4.0,매수
00781K,121500.0,4.0,매수
38380K,12500.0,4.0,매수
33637L,18667.0,4.0,매수
002995,5600.0,4.0,매수
