corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00494546,오비고,352910,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000197,장영준,20260605,
00105606,금호에이치티,214330,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000196,김두인,20260605,
00494546,오비고,352910,K,주식등의대량보유상황보고서(일반),20260605000195,장영준,20260605,
01210190,모비릭스,348030,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000193,이남일,20260605,
01210190,모비릭스,348030,K,주식등의대량보유상황보고서(일반),20260605000191,임중수,20260605,
00108490,엔피케이,048830,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000190,최상건,20260605,
00606886,엔지켐생명과학,183490,K,[기재정정]주식등의대량보유상황보고서(일반),20260605000189,남윤희,20260605,
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000188,김제이,20260605,
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000187,박승범,20260605,
00606886,엔지켐생명과학,183490,K,[기재정정]주식등의대량보유상황보고서(일반),20260605000186,남윤희,20260605,
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000185,김찬미,20260605,
01406265,와이랩,432430,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000181,윤지영,20260605,
00871587,보원케미칼,0010F0,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000179,장희진,20260605,
00106881,인디에프,014990,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000178,김한수,20260605,
00121932,미원상사,002840,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000173,염영진,20260605,
01299106,우듬지팜,403490,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000172,김호연,20260605,
00671978,그리티,204020,K,주식등의대량보유상황보고서(일반),20260605000169,문영우,20260605,
00671978,그리티,204020,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000168,문영우,20260605,
00121932,미원상사,002840,Y,최대주주등소유주식변동신고서              ,20260605800303,미원상사,20260605,유
00132868,우성머티리얼스,011300,Y,주식등의대량보유상황보고서(약식),20260605000158,동양잉크,20260605,
01117246,EMB,278990,N,임원ㆍ주요주주특정증권등소유상황보고서,20260605000156,박관련,20260605,
00122737,팬오션,028670,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000155,신재호,20260605,
00367871,인바이오,352940,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000153,이혁재,20260605,
00429694,파버나인,177830,K,주식등의대량보유상황보고서(약식),20260605000146,오라이언자산운용,20260605,
00148920,조광페인트,004910,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000140,박석주,20260605,
00541437,코렌텍,104540,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000139,박형철,20260605,
00544577,브이엠,089970,K,주식등의대량보유상황보고서(약식),20260605000134,J.P.MORGANSECURITIESPLC,20260605,
00878915,iM금융지주,139130,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000127,천병규,20260605,
01101041,패션플랫폼,225590,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000124,메이븐에프씨,20260605,
01238169,오리온,271560,Y,주식등의대량보유상황보고서(일반),20260605000116,오리온홀딩스,20260605,
01336443,디와이씨,310870,K,주식등의대량보유상황보고서(약식),20260605000110,LIG디펜스앤에어로스페이스,20260605,
00349060,한스바이오메드,042520,K,주식등의대량보유상황보고서(약식),20260605000106,한국투자신탁운용,20260605,
00226547,오상자이엘,053980,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000105,김선기,20260605,
00628189,웅진씽크빅,095720,Y,최대주주등소유주식변동신고서              ,20260605800200,웅진씽크빅,20260605,유
00428729,대호에이엘,069460,Y,[기재정정]주식등의대량보유상황보고서(일반),20260605000092,이상인,20260605,
00983916,HLB제넥스,187420,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000088,진양곤,20260605,
00552859,HLB테라퓨틱스,115450,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000087,진양곤,20260605,
00410915,서울옥션,063170,K,주식등의대량보유상황보고서(일반),20260605000085,이호재,20260605,
00231707,비트컴퓨터,032850,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000084,조재석,20260605,
00126380,삼성전자,005930,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000073,김이수,20260605,
01261893,케이씨텍,281820,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000063,정의훈,20260605,
00172291,더존비즈온,012510,Y,최대주주등소유주식변동신고서              ,20260605800158,더존비즈온,20260605,유
00126380,삼성전자,005930,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000061,이지훈,20260605,
00327396,옵트론텍,082210,K,주식등의대량보유상황보고서(약식),20260605000052,노틱그린이노베이션이에스지사모투자,20260605,
00122737,팬오션,028670,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000049,성제용,20260605,
00226547,오상자이엘,053980,K,주식등의대량보유상황보고서(일반),20260605000047,오상,20260605,
00107598,남양유업,003920,Y,주식등의대량보유상황보고서(일반),20260605000041,한앤코유업홀딩스,20260605,
00480367,SK오션플랜트,100090,Y,주식등의대량보유상황보고서(일반),20260605000032,에스케이에코플랜트,20260605,
01712616,엔에이치스팩29호,451700,K,주식등의대량보유상황보고서(일반),20260605000026,TS인베스트먼트,20260605,
00172680,동국산업,005160,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000015,이원휘,20260605,
00299002,HL홀딩스,060980,Y,최대주주등소유주식변동신고서              ,20260605800042,HL홀딩스,20260605,유
00299002,HL홀딩스,060980,Y,주식등의대량보유상황보고서(일반),20260604000658,정몽원,20260605,
00299002,HL홀딩스,060980,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260604000652,정지연,20260605,
01307335,공구우먼,366030,K,임원ㆍ주요주주특정증권등소유상황보고서,20260604000667,티에스 2018-12 M&A 투자조합,20260605,
00866451,워트,396470,K,주식등의대량보유상황보고서(일반),20260604000665,박승배,20260605,
00866451,워트,396470,K,임원ㆍ주요주주특정증권등소유상황보고서,20260604000660,양귀철,20260605,
