date,advancing,declining,adv_volume,dec_volume,trin,signal
2025-11-26,769,122,237698063,19623040,0.5204,Bullish
2025-11-27,389,479,126004779,94308972,0.6078,Bullish
2025-11-28,593,279,131764397,91281823,1.4724,Bearish
2025-12-01,382,485,170778393,107896579,0.4976,Bullish
2025-12-02,637,225,247002368,39588439,0.4538,Bullish
2025-12-03,652,226,187745664,81139255,1.2468,Neutral
2025-12-04,281,592,182152178,141340139,0.3683,Bullish
2025-12-05,595,277,377005257,54595065,0.3111,Bullish
2025-12-08,312,550,232665630,129988576,0.3169,Bullish
2025-12-09,398,474,236518999,128841470,0.4574,Bullish
2025-12-10,281,590,134567209,156975891,0.5556,Bullish
2025-12-11,550,322,325744752,158979393,0.8336,Bullish
2025-12-12,654,220,333019135,64742815,0.5779,Bullish
2025-12-15,349,529,120197039,180695563,0.9918,Neutral
2025-12-16,185,712,138725886,220761707,0.4135,Bullish
2025-12-17,532,342,205846161,129987345,0.9823,Neutral
2025-12-18,195,685,391429453,167848087,0.1221,Bullish
2025-12-19,605,275,211648391,215286021,2.2378,Bearish
2025-12-22,534,340,222367646,77369612,0.5465,Bullish
2025-12-23,217,655,177175655,163133812,0.305,Bullish
2025-12-24,378,481,159557494,185327553,0.9128,Neutral
2025-12-26,244,641,296848128,191138498,0.2451,Bullish
2025-12-29,318,570,379410542,112472865,0.1654,Bullish
2025-12-30,329,545,230299119,162203659,0.4252,Bullish
2026-01-02,373,521,298275010,96129422,0.2307,Bullish
2026-01-05,437,447,371988326,120183677,0.3159,Bullish
2026-01-06,395,480,327253408,131828667,0.3315,Bullish
2026-01-07,199,682,295239354,218650416,0.2161,Bullish
2026-01-08,175,727,108294995,313798722,0.6975,Bullish
2026-01-09,538,338,295447490,83763130,0.4513,Bullish
2026-01-12,528,348,256551786,111248636,0.6579,Bullish
2026-01-13,446,430,270854542,134959354,0.5168,Bullish
2026-01-14,556,334,405895330,114817513,0.4709,Bullish
2026-01-15,483,388,369432187,100314003,0.338,Bullish
2026-01-16,374,502,466765491,186723006,0.298,Bullish
2026-01-19,397,485,348307309,172942203,0.4064,Bullish
2026-01-20,665,228,374217034,189730264,1.4788,Bearish
2026-01-21,183,712,243921189,278426332,0.2934,Bullish
2026-01-22,564,314,354901583,159371205,0.8066,Bullish
2026-01-23,678,211,368161941,163815926,1.4298,Bearish
2026-01-26,504,390,204283176,176705356,1.1178,Neutral
2026-01-27,410,474,284195644,150036938,0.4567,Bullish
2026-01-28,430,441,373689669,158732323,0.4142,Bullish
2026-01-29,579,286,427840901,162793486,0.7703,Bullish
2026-01-30,279,603,374814877,309324200,0.3818,Bullish
2026-02-02,116,797,128703916,394558570,0.4462,Bullish
2026-02-03,826,75,560333092,22044579,0.4333,Bullish
2026-02-04,749,156,628808676,81563315,0.6228,Bullish
2026-02-05,308,577,287855946,378979144,0.7028,Bullish
2026-02-06,191,702,209406872,328094636,0.4263,Bullish
2026-02-09,716,173,424922051,71281966,0.6943,Bullish
2026-02-10,690,208,509385482,131243303,0.8547,Neutral
2026-02-11,541,339,431036477,159968659,0.5923,Bullish
2026-02-12,617,273,464513324,177670269,0.8644,Neutral
2026-02-13,337,546,736876214,289492875,0.2425,Bullish
2026-02-19,666,233,832391790,88066120,0.3024,Bullish
2026-02-20,545,340,944600113,289743440,0.4917,Bullish
2026-02-23,546,347,598750056,433270246,1.1386,Neutral
2026-02-24,407,466,731698564,305955576,0.3652,Bullish
2026-02-25,447,434,534504010,467989567,0.9018,Neutral
2026-02-26,239,661,715841005,363109123,0.1834,Bullish
2026-02-27,263,628,337653552,549398840,0.6814,Bullish
2026-03-03,74,841,445224721,633885483,0.1253,Bullish
2026-03-04,12,910,344067794,1057562833,0.0405,Bullish
2026-03-05,899,21,774796834,321802055,17.7804,Bearish
2026-03-06,524,362,444062223,337571199,1.1004,Neutral
2026-03-09,73,849,244911488,510053661,0.1791,Bullish
2026-03-10,755,146,479745590,141267434,1.5227,Bearish
2026-03-11,702,199,439901399,164924694,1.3226,Bearish
2026-03-12,571,321,288654410,205164654,1.2643,Bearish
2026-03-13,337,553,492845771,265634654,0.3285,Bullish
2026-03-16,250,644,738782499,238838568,0.1255,Bullish
2026-03-17,631,257,642598044,267216108,1.021,Neutral
2026-03-18,616,279,591312195,135644565,0.5065,Bullish
2026-03-19,204,679,539155970,240215269,0.1339,Bullish
2026-03-20,743,158,954526171,146103982,0.7198,Bullish
2026-03-23,51,863,320220197,556144522,0.1026,Bullish
2026-03-24,705,191,417003729,514649206,4.5554,Bearish
2026-03-25,718,164,405752304,208162327,2.2461,Bearish
2026-03-26,225,664,256424384,442283253,0.5845,Bullish
2026-03-27,436,442,268342324,368581865,1.3549,Bearish
2026-03-30,154,752,287817789,252803431,0.1799,Bullish
2026-03-31,117,792,631618771,381482897,0.0892,Bullish
2026-04-01,840,70,502734912,304410223,7.2661,Bearish
2026-04-02,90,817,693316841,484704164,0.077,Bullish
2026-04-03,666,225,543341847,197650212,1.0768,Neutral
2026-04-06,353,515,659588419,229901498,0.2389,Bullish
2026-04-07,286,580,516477376,237678179,0.2269,Bullish
2026-04-08,784,106,613111663,194913864,2.3513,Bearish
2026-04-09,356,511,704060536,208192032,0.206,Bullish
2026-04-10,719,163,728490248,92466366,0.5599,Bullish
2026-04-13,345,525,671344637,287924445,0.2818,Bullish
2026-04-14,671,198,635427209,182345878,0.9725,Neutral
2026-04-15,571,275,600701814,165898535,0.5734,Bullish
2026-04-16,657,206,566786408,209516397,1.179,Neutral
2026-04-17,466,389,336120647,286194783,1.02,Neutral
2026-04-20,321,535,389818267,223459356,0.3439,Bullish
2026-04-21,457,409,505406515,166704545,0.3686,Bullish
2026-04-22,397,466,521669896,208926660,0.3412,Bullish
2026-04-23,358,506,554675542,298084158,0.3802,Bullish
2026-04-24,622,236,517568356,150152319,0.7646,Bullish
2026-04-27,496,359,591723811,160211099,0.3741,Bullish
2026-04-28,433,418,893710057,231283454,0.2681,Bullish
2026-04-29,479,364,426320767,281343082,0.8684,Neutral
2026-04-30,194,668,310610812,368227506,0.3443,Bullish
2026-05-04,392,476,579177867,290565625,0.4132,Bullish
2026-05-06,201,678,710591250,278173307,0.1161,Bullish
2026-05-07,354,503,402970292,357368855,0.6241,Bullish
2026-05-08,370,500,217780056,300729531,1.0219,Neutral
2026-05-11,148,738,363599400,365328277,0.2015,Bullish
2026-05-12,146,733,432268580,574407206,0.2647,Bullish
2026-05-13,281,602,462509809,273858438,0.2764,Bullish
2026-05-14,649,221,549859614,282488864,1.5087,Bearish
