date,indicator,indicator_name,category,frequency,ticker,open,high,low,close,adj_close,volume,unit,source,source_url,downloaded_at
2012-07-10,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.08999633789062,83.4800033569336,82.97000122070312,83.36000061035156,83.36000061035156,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-11,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.56999969482422,83.56999969482422,83.56999969482422,83.56999969482422,83.56999969482422,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-12,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.44999694824219,83.81999969482422,83.0999984741211,83.6500015258789,83.6500015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-13,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.61000061035156,83.77999877929688,83.26000213623047,83.30000305175781,83.30000305175781,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-16,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.25,83.63999938964844,83.0199966430664,83.08999633789062,83.08999633789062,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-17,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.13999938964844,83.63999938964844,82.91000366210938,83.02999877929688,83.02999877929688,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-18,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.02999877929688,83.33999633789062,82.91999816894531,82.94999694824219,82.94999694824219,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-19,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.0,83.1500015258789,82.7300033569336,82.9000015258789,82.9000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-20,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.93000030517578,83.55000305175781,82.7300033569336,83.47000122070312,83.47000122070312,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-23,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.66000366210938,84.0,82.87000274658203,83.70999908447266,83.70999908447266,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-24,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.75,84.0999984741211,83.61000061035156,84.01000213623047,84.01000213623047,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-25,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.9800033569336,84.0999984741211,83.5,83.5199966430664,83.5199966430664,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-26,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.80999755859375,82.80999755859375,82.80999755859375,82.80999755859375,82.80999755859375,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-27,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.8499984741211,83.7300033569336,82.33999633789062,82.70999908447266,82.70999908447266,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-30,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.69000244140625,82.98999786376953,82.52999877929688,82.79000091552734,82.79000091552734,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-31,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.80999755859375,82.98999786376953,82.51000213623047,82.63999938964844,82.63999938964844,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-08-01,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.70999908447266,83.16000366210938,82.4800033569336,83.05999755859375,83.05999755859375,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-08-02,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.05000305175781,83.51000213623047,82.19999694824219,83.33000183105469,83.33000183105469,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-08-03,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.33000183105469,83.51000213623047,82.19999694824219,82.37999725341797,82.37999725341797,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-08-06,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.33000183105469,82.56999969482422,82.08000183105469,82.2699966430664,82.2699966430664,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
