ticker,period,buyback_count,dividend_count,insider_count,total_count,buyback_event_flag,buyback_count_3m,buyback_count_zscore_own_6m,dividend_event_flag,dividend_count_3m,dividend_count_zscore_own_6m,insider_event_flag,insider_count_3m,insider_count_zscore_own_6m,event_activity_score,event_activity_bucket
358570,2026-05-01,0,0,0,0,False,0,,False,0,,False,9,-1.0687334289668036,0.07760554758609971,quiet
358570,2026-06-01,0,0,7,7,False,0,,False,0,,True,9,0.4472135954999579,0.20393446629166315,normal
361610,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
361610,2025-07-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
361610,2025-08-01,0,0,1,1,False,0,,False,0,,True,1,,0.0,quiet
361610,2025-09-01,0,0,0,0,False,0,,False,0,,False,1,-0.5,0.125,quiet
361610,2025-10-01,0,0,0,0,False,0,,False,0,,False,1,-0.4472135954999579,0.12939886704167017,quiet
361610,2025-11-01,0,0,0,0,False,0,,False,0,,False,0,-0.408248290463863,0.13264597579467807,quiet
361610,2025-12-01,0,0,0,0,False,0,,False,0,,False,0,-0.408248290463863,0.13264597579467807,quiet
361610,2026-01-01,0,0,0,0,False,0,,False,0,,False,0,-0.408248290463863,0.13264597579467807,quiet
361610,2026-02-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
361610,2026-03-01,0,0,1,1,False,0,,False,0,,True,1,2.041241452319315,0.3333333333333333,normal
361610,2026-04-01,0,0,1,1,False,0,,False,0,,True,2,1.2909944487358056,0.27424953739465047,normal
361610,2026-05-01,0,0,0,0,False,0,,False,0,,False,2,-0.6454972243679027,0.11287523130267478,quiet
361610,2026-06-01,0,0,0,0,False,0,,False,0,,False,1,-0.6454972243679027,0.11287523130267478,quiet
365340,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
365340,2025-07-01,0,0,3,3,False,0,,False,0,,True,3,,0.0,quiet
365340,2025-08-01,0,0,2,2,False,0,,False,0,,True,5,,0.0,quiet
365340,2025-09-01,0,0,3,3,False,0,,False,0,,True,8,0.7071067811865475,0.22559223176554563,normal
365340,2025-10-01,0,0,1,1,False,0,,False,0,,True,6,-0.6135719910778964,0.11553566741017529,quiet
365340,2025-11-01,0,0,5,5,False,0,,False,0,,True,9,1.522773975253762,0.29356449793781353,normal
365340,2025-12-01,0,0,2,2,False,0,,False,0,,True,8,-0.4879500364742666,0.12600416362714445,quiet
365340,2026-01-01,0,0,0,0,False,0,,False,0,,False,7,-1.2579336245387982,0.06183886462176682,quiet
365340,2026-02-01,0,0,3,3,False,0,,False,0,,True,5,0.3806934938134404,0.19839112448445337,normal
365340,2026-03-01,0,0,3,3,False,0,,False,0,,True,6,0.3806934938134404,0.19839112448445337,normal
365340,2026-04-01,0,0,0,0,False,0,,False,0,,False,6,-1.11638375318068,0.07363468723494333,quiet
365340,2026-05-01,0,0,4,4,False,0,,False,0,,True,7,1.1952286093343936,0.26626905077786617,normal
365340,2026-06-01,0,0,0,0,False,0,,False,0,,False,4,-0.895143592549291,0.09207136728755909,quiet
373220,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
373220,2025-07-01,0,0,1,1,False,0,,False,0,,True,1,,0.0,quiet
373220,2025-08-01,0,0,2,2,False,0,,False,0,,True,3,,0.0,quiet
373220,2025-09-01,0,0,0,0,False,0,,False,0,,False,3,-0.7833494518006403,0.10138754568327997,quiet
373220,2025-10-01,0,0,2,2,False,0,,False,0,,True,4,1.0,0.25,normal
373220,2025-11-01,0,0,7,7,False,0,,False,0,,True,9,1.917412472118426,0.32645103934320213,normal
373220,2025-12-01,0,0,4,4,False,0,,False,0,,True,13,0.5326236412913075,0.21105197010760893,normal
373220,2026-01-01,0,0,3,3,False,0,,False,0,,True,14,0.0,0.16666666666666666,normal
373220,2026-02-01,0,0,1,1,False,0,,False,0,,True,8,-0.7382716607354268,0.10514402827204776,quiet
373220,2026-03-01,0,0,1,1,False,0,,False,0,,True,5,-0.8770580193070292,0.0935784983910809,quiet
373220,2026-04-01,0,0,2,2,False,0,,False,0,,True,4,-0.4385290096535146,0.1301225825288738,quiet
373220,2026-05-01,0,0,1,1,False,0,,False,0,,True,4,-0.790569415042094,0.10078588207982549,quiet
373220,2026-06-01,0,0,1,1,False,0,,False,0,,True,4,-0.5976143046671952,0.11686547461106707,quiet
375500,2025-06-01,0,0,0,0,False,0,,False,0,,False,0,,0.0,quiet
375500,2025-07-01,1,0,2,3,True,1,,False,0,,True,2,,0.5,elevated_activity
375500,2025-08-01,0,0,0,0,False,1,,False,0,,False,2,,0.0,quiet
375500,2025-09-01,0,0,1,1,False,1,-0.5,False,0,,True,3,0.26111648393354675,0.1884263736611289,normal
375500,2025-10-01,0,0,3,3,False,0,-0.4472135954999579,False,0,,True,4,1.380536979925267,0.2817114149937722,normal
375500,2025-11-01,0,0,0,0,False,0,-0.408248290463863,False,0,,False,4,-0.7905694150420948,0.10078588207982543,quiet
375500,2025-12-01,1,0,0,1,True,1,1.2909944487358056,False,0,,False,3,-0.7905694150420948,0.4341192154131588,normal
375500,2026-01-01,0,0,1,1,False,1,-0.40824829046386296,False,0,,True,1,0.14256648712805023,0.17854720726067086,normal
375500,2026-02-01,0,1,0,1,False,1,-0.40824829046386296,True,1,2.041241452319315,False,1,-0.7128324356402512,0.440597297029979,normal
375500,2026-03-01,0,0,0,0,False,0,-0.40824829046386296,False,1,-0.408248290463863,False,1,-0.5504818825631803,0.12079317645306831,quiet
375500,2026-04-01,0,1,3,4,False,0,-0.40824829046386296,True,2,1.2909944487358056,True,3,1.9266865889711313,0.6605572157475943,elevated_activity
375500,2026-05-01,0,0,0,0,False,0,-0.40824829046386296,False,1,-0.6454972243679027,False,3,-0.5504818825631803,0.12079317645306831,quiet
