ticker,period,balance,balance_ratio,listed_shares
025900,2025-05-01,421927,0.83,50557285
025900,2025-06-01,407850,0.81,50557285
025900,2025-07-01,249785,0.49,50557285
025900,2025-08-01,236794,0.47,50557285
025900,2025-09-01,303051,0.6,50557285
025900,2025-10-01,183710,0.36,50557285
025900,2025-11-01,278636,0.55,50557285
025900,2025-12-01,252379,0.5,50557285
025900,2026-01-01,195328,0.39,50557285
025900,2026-02-01,212468,0.42,50557285
025900,2026-03-01,237761,0.47,50557285
025900,2026-04-01,258342,0.51,50557285
025900,2026-05-01,468716,0.93,50557285
025900,2026-06-01,486854,0.96,50557285
025980,2025-04-01,826912,0.93,88629478
025980,2025-05-01,1142743,1.29,88629478
025980,2025-06-01,2530291,2.85,88629478
025980,2025-07-01,3070676,3.46,88629478
025980,2025-08-01,4131018,4.48,92271512
025980,2025-09-01,3269393,3.48,93971129
025980,2025-10-01,3758088,3.97,94699536
025980,2025-11-01,2854414,3.01,94699536
025980,2025-12-01,920738,0.97,94699536
025980,2026-01-01,1378073,1.46,94699536
025980,2026-02-01,1805617,1.91,94699536
025980,2026-03-01,2403416,2.54,94699536
025980,2026-04-01,857186,0.88,97300990
025980,2026-05-01,978333,1.01,97300990
025980,2026-06-01,989589,1.02,97300990
026960,2025-04-01,337390,0.34,99700000
026960,2025-05-01,492518,0.49,99700000
026960,2025-06-01,596702,0.6,99700000
026960,2025-07-01,646711,0.65,99700000
026960,2025-08-01,707013,0.71,99700000
026960,2025-09-01,868111,0.87,99700000
026960,2025-10-01,970148,0.97,99700000
026960,2025-11-01,1049260,1.05,99700000
026960,2025-12-01,1210207,1.21,99700000
026960,2026-01-01,1260117,1.26,99700000
026960,2026-02-01,1132352,1.14,99700000
026960,2026-03-01,1341032,1.35,99700000
026960,2026-04-01,1352045,1.36,99700000
026960,2026-05-01,1510493,1.52,99700000
026960,2026-06-01,1494453,1.5,99700000
027360,2025-04-01,371619,0.31,120945406
027360,2025-05-01,484186,0.4,120945406
027360,2025-06-01,0,0.0,120945406
027360,2025-07-01,332597,0.27,120945406
027360,2025-08-01,385234,0.32,121145406
027360,2025-09-01,376311,0.31,121145406
027360,2025-10-01,319655,0.26,121145406
027360,2025-11-01,367903,0.3,121145406
027360,2025-12-01,372428,0.31,121145406
027360,2026-01-01,584340,0.48,121145406
027360,2026-02-01,947301,0.78,121145406
027360,2026-03-01,1315005,1.09,121145406
027360,2026-04-01,1306277,1.08,121145406
027360,2026-05-01,795122,0.66,121145406
027360,2026-06-01,699015,0.58,121145406
028050,2025-04-01,164960,0.08,196000000
028050,2025-05-01,183844,0.09,196000000
028050,2025-06-01,291805,0.15,196000000
028050,2025-07-01,346228,0.18,196000000
028050,2025-08-01,477178,0.24,196000000
028050,2025-09-01,725302,0.37,196000000
028050,2025-10-01,448167,0.23,196000000
028050,2025-11-01,264883,0.14,196000000
028050,2025-12-01,220457,0.11,196000000
028050,2026-01-01,161871,0.08,196000000
028050,2026-02-01,288216,0.15,196000000
028050,2026-03-01,250766,0.13,196000000
028050,2026-04-01,546498,0.28,196000000
028050,2026-05-01,658686,0.34,196000000
028050,2026-06-01,523783,0.27,196000000
028260,2025-04-01,131578,0.08,169976544
028260,2025-05-01,109026,0.06,169976544
028260,2025-06-01,103566,0.06,169976544
028260,2025-07-01,131378,0.08,169976544
028260,2025-08-01,129434,0.08,169976544
028260,2025-09-01,188244,0.11,169976544
028260,2025-10-01,249625,0.15,169976544
028260,2025-11-01,351770,0.21,169976544
028260,2025-12-01,425111,0.25,169976544
028260,2026-01-01,440019,0.26,169976544
028260,2026-02-01,274211,0.16,169976544
028260,2026-03-01,132131,0.08,162168981
028260,2026-04-01,128919,0.08,162168981
028260,2026-05-01,133287,0.08,162167581
028260,2026-06-01,493073,0.3,162167581
028300,2025-04-01,3858913,2.94,131425086
028300,2025-05-01,4234257,3.22,131425086
028300,2025-06-01,4576262,3.48,131430465
028300,2025-07-01,4834579,3.68,131431361
028300,2025-08-01,5143069,3.91,131439058
028300,2025-09-01,5515768,4.2,131454058
028300,2025-10-01,5982853,4.55,131454058
028300,2025-11-01,7371942,5.59,131833110
028300,2025-12-01,7754078,5.88,131853110
028300,2026-01-01,8374387,6.29,133063711
028300,2026-02-01,9330300,7.01,133117504
028300,2026-03-01,9582667,7.2,133117504
028300,2026-04-01,7439785,5.59,133161761
028300,2026-05-01,8226984,6.18,133198223
028300,2026-06-01,8786632,6.6,133198223
028670,2025-04-01,0,0.0,534569512
028670,2025-05-01,0,0.0,534569512
028670,2025-06-01,59750,0.01,534569512
028670,2025-07-01,0,0.0,534569512
028670,2025-08-01,0,0.0,534569512
028670,2025-09-01,167266,0.03,534569512
028670,2025-10-01,58970,0.01,534569512
028670,2025-11-01,0,0.0,534569512
028670,2025-12-01,170484,0.03,534569512
028670,2026-01-01,84171,0.02,534569512
028670,2026-02-01,78763,0.01,534569512
028670,2026-03-01,473182,0.09,534569512
028670,2026-04-01,299745,0.06,534569512
028670,2026-05-01,348145,0.07,534569512
028670,2026-06-01,536712,0.1,534569512
029780,2025-04-01,59156,0.05,115858891
029780,2025-05-01,51095,0.04,115858891
029780,2025-06-01,46104,0.04,115858891
029780,2025-07-01,52407,0.05,115858891
029780,2025-08-01,42236,0.04,115858891
029780,2025-09-01,133152,0.11,115858891
029780,2025-10-01,88576,0.08,115858891
029780,2025-11-01,87623,0.08,115858891
029780,2025-12-01,39982,0.03,115858891
029780,2026-01-01,15262,0.01,115858891
029780,2026-02-01,74477,0.06,115858891
029780,2026-03-01,54344,0.05,115858891
029780,2026-04-01,16625,0.01,115858891
029780,2026-05-01,57960,0.05,115858891
029780,2026-06-01,19516,0.02,115858891
030000,2025-04-01,63510,0.06,115041225
030000,2025-05-01,64680,0.06,115041225
030000,2025-06-01,75734,0.07,115041225
030000,2025-07-01,114342,0.1,115041225
030000,2025-08-01,101011,0.09,115041225
030000,2025-09-01,347434,0.3,115041225
030000,2025-10-01,227452,0.2,115041225
030000,2025-11-01,227376,0.2,115041225
030000,2025-12-01,92862,0.08,115041225
030000,2026-01-01,95073,0.08,115041225
030000,2026-02-01,224901,0.2,115041225
030000,2026-03-01,187914,0.16,115041225
030000,2026-04-01,452340,0.39,115041225
030000,2026-05-01,599964,0.52,115041225
030000,2026-06-01,513488,0.45,115041225
030200,2025-04-01,501529,0.2,252021685
030200,2025-05-01,743255,0.29,252021685
030200,2025-06-01,748009,0.3,252021685
030200,2025-07-01,1441379,0.57,252021685
030200,2025-08-01,1129979,0.45,252021685
030200,2025-09-01,495937,0.2,252021685
030200,2025-10-01,485578,0.19,252021685
030200,2025-11-01,234080,0.09,252021685
030200,2025-12-01,546455,0.22,252021685
030200,2026-01-01,334963,0.13,252021685
030200,2026-02-01,268724,0.11,252021685
030200,2026-03-01,225400,0.09,252021685
030200,2026-04-01,426202,0.17,252021685
030200,2026-05-01,1282531,0.51,252021685
030200,2026-06-01,1309034,0.52,252021685
030520,2025-04-01,115286,0.48,24179744
030520,2025-05-01,231793,0.96,24179744
030520,2025-06-01,101556,0.42,24179744
030520,2025-07-01,3700,0.02,24179744
030520,2025-08-01,3700,0.02,24179744
030520,2025-09-01,25828,0.11,24179744
030520,2025-10-01,72658,0.3,24179744
030520,2025-11-01,107023,0.44,24179744
030520,2025-12-01,121679,0.5,24179744
030520,2026-01-01,236095,0.98,24179744
030520,2026-02-01,364354,1.51,24179744
030520,2026-03-01,296916,1.23,24179744
030520,2026-04-01,274467,1.14,24179744
030520,2026-05-01,232419,0.96,24179744
030520,2026-06-01,264634,1.09,24179744
030530,2025-04-01,1278885,1.66,77237981
030530,2025-05-01,1745781,2.26,77237981
030530,2025-06-01,1683767,2.18,77237981
030530,2025-07-01,1449717,1.88,77237981
030530,2025-08-01,587480,0.76,77237981
030530,2025-09-01,650579,0.84,77237981
030530,2025-10-01,726982,0.94,77237981
030530,2025-11-01,1073705,1.39,77237981
030530,2025-12-01,706626,0.91,77237981
030530,2026-01-01,966054,1.25,77237981
030530,2026-02-01,966446,1.25,77237981
030530,2026-03-01,711927,0.92,77237981
030530,2026-04-01,628881,0.81,77237981
030530,2026-05-01,730338,0.95,77237981
030530,2026-06-01,851333,1.1,77237981
031210,2025-04-01,7006,0.01,69821598
031210,2025-05-01,15728,0.02,69821598
031210,2025-06-01,8701,0.01,69821598
031210,2025-07-01,18903,0.03,69821598
031210,2025-08-01,0,0.0,69821598
031210,2025-09-01,0,0.0,69821598
031210,2025-10-01,0,0.0,69821598
031210,2025-11-01,0,0.0,69821598
031210,2025-12-01,19993,0.03,69821598
