period,group_name,keywords,ratio,chunk_id
2021-12-01,shipbuilding,조선|선박|LNG선|조선주,0.15876,0
2022-01-01,shipbuilding,조선|선박|LNG선|조선주,0.1727,0
2022-02-01,shipbuilding,조선|선박|LNG선|조선주,0.16545,0
2022-03-01,shipbuilding,조선|선박|LNG선|조선주,0.17122,0
2022-04-01,shipbuilding,조선|선박|LNG선|조선주,0.18739,0
2022-05-01,shipbuilding,조선|선박|LNG선|조선주,0.1529,0
2022-06-01,shipbuilding,조선|선박|LNG선|조선주,0.16594,0
2022-07-01,shipbuilding,조선|선박|LNG선|조선주,0.16038,0
2022-08-01,shipbuilding,조선|선박|LNG선|조선주,0.1782,0
2022-09-01,shipbuilding,조선|선박|LNG선|조선주,0.17422,0
2022-10-01,shipbuilding,조선|선박|LNG선|조선주,0.16186,0
2022-11-01,shipbuilding,조선|선박|LNG선|조선주,0.14376,0
2022-12-01,shipbuilding,조선|선박|LNG선|조선주,0.12635,0
2023-01-01,shipbuilding,조선|선박|LNG선|조선주,0.13076,0
2023-02-01,shipbuilding,조선|선박|LNG선|조선주,0.12532,0
2023-03-01,shipbuilding,조선|선박|LNG선|조선주,0.13882,0
2023-04-01,shipbuilding,조선|선박|LNG선|조선주,0.14638,0
2023-05-01,shipbuilding,조선|선박|LNG선|조선주,0.16879,0
2023-06-01,shipbuilding,조선|선박|LNG선|조선주,0.1834,0
2023-07-01,shipbuilding,조선|선박|LNG선|조선주,0.79438,0
2023-08-01,shipbuilding,조선|선박|LNG선|조선주,0.49028,0
2023-09-01,shipbuilding,조선|선박|LNG선|조선주,0.16658,0
2023-10-01,shipbuilding,조선|선박|LNG선|조선주,0.1695,0
2023-11-01,shipbuilding,조선|선박|LNG선|조선주,0.15716,0
2023-12-01,shipbuilding,조선|선박|LNG선|조선주,0.1467,0
2024-01-01,shipbuilding,조선|선박|LNG선|조선주,0.20303,0
2024-02-01,shipbuilding,조선|선박|LNG선|조선주,0.13087,0
2024-03-01,shipbuilding,조선|선박|LNG선|조선주,0.19068,0
2024-04-01,shipbuilding,조선|선박|LNG선|조선주,0.17118,0
2024-05-01,shipbuilding,조선|선박|LNG선|조선주,0.15831,0
2024-06-01,shipbuilding,조선|선박|LNG선|조선주,0.16406,0
2024-07-01,shipbuilding,조선|선박|LNG선|조선주,0.16947,0
2024-08-01,shipbuilding,조선|선박|LNG선|조선주,0.17595,0
2024-09-01,shipbuilding,조선|선박|LNG선|조선주,0.18593,0
2024-10-01,shipbuilding,조선|선박|LNG선|조선주,0.16119,0
